lat,lng
-30.107691,-51.240821
-30.1106966,-51.2442042
-30.1059092,-51.2424961
-30.081831,-51.36584
-30.1073934,-51.322408
-30.1086395,-51.3206537
-30.108614,-51.325322
-30.108214,-51.324468
-30.109824,-51.321665
-30.1085476,-51.3206177
-30.108391,-51.319478
-30.109066,-51.326477
-30.107429,-51.3231448
-30.109011,-51.327248
-30.103818,-51.321727
-30.1073023,-51.32784
-30.103505,-51.326821
-30.103736,-51.321926
-30.104283,-51.32485
-30.110462,-51.341455
-30.112686,-51.340214
-30.112082,-51.342215
-30.107485,-51.335563
-30.0327694416037,-51.204657554625
-30.0331403,-51.2044032
-30.0323822,-51.2057685
-30.0328395,-51.205787
-30.0331504,-51.2042515
-30.0323822,-51.2057685
-30.032382,-51.205768
-30.0325071,-51.2053034
-30.0331315,-51.2045996
-30.036296,-51.1932636
-30.0366,-51.194565
-30.037051,-51.193693
-30.0350152,-51.1944934
-30.0350152,-51.1944934
-30.0350152,-51.1944934
-30.036765,-51.19924
-30.035813,-51.19829
-30.03688,-51.199992
-30.035548,-51.196534
-30.036034,-51.197056
-30.0071382522574,-51.1297059059128
-30.0115104211872,-51.1326456069946
-30.0069124,-51.1323301
-30.0079222,-51.128023
-30.011156,-51.133972
-30.0114407,-51.1303325
-30.0121904,-51.1311007
-30.0109763,-51.1316054
-30.01311,-51.13334
-30.010141,-51.134515
-30.057657,-51.15512
-30.057767,-51.158353
-30.060103,-51.155388
-30.0530853838108,-51.1572360992432
-30.0541543,-51.1595025
-30.0566003,-51.1578136
-30.054115,-51.158135
-30.0586666666667,-51.15674
-30.0552,-51.159905
-30.057826,-51.159024
-30.039340453972,-51.2014389038086
-30.0409532,-51.2009735
-30.04094976,-51.20153762
-30.04136287,-51.20209449
-30.040308,-51.203397
-30.040487,-51.201079
-30.0396376618166,-51.2022972106934
-30.042272,-51.200701
-30.0422799,-51.2033841
-30.0554534054437,-51.1871588230133
-30.036851,-51.195015
-30.038471,-51.195891
-30.038471,-51.195891
-30.0376296,-51.1954693
-30.035927,-51.197012
-30.0376102,-51.1952873
-30.03822,-51.197448
-30.0426839908206,-51.2047433853149
-30.0419781424375,-51.2042713165283
-30.041546,-51.204219
-30.042034,-51.203947
-30.040834,-51.2041398
-30.041987,-51.204151
-30.0427954401056,-51.206202507019
-30.042985832344,-51.2048318982124
-30.04222074,-51.20538333
-30.040186,-51.204343
-30.0375809,-51.2031714
-30.037213,-51.201443
-30.03685,-51.201315
-30.0388389137128,-51.1994540691376
-30.0390803963767,-51.1998510360718
-30.0396005108847,-51.198263168335
-30.039565,-51.199042
-30.039782,-51.198761
-30.038254,-51.198945
-30.040243,-51.199265
-30.039554,-51.199154
-30.039135,-51.200709
-30.031791,-51.200318
-30.031654,-51.200327
-30.0234547908979,-51.2012591958046
-30.0282270270965,-51.2065753340721
-30.03338,-51.204161
-30.0328232,-51.2037981
-30.0333589565991,-51.2040138244629
-30.0336295,-51.204895
-30.0470275,-51.2029607
-30.0422965,-51.2079916
-30.043373,-51.205978
-30.0425898,-51.207928
-30.044488,-51.2066679
-30.0442335,-51.2069052
-30.0402042,-51.2012324
-30.0425725414102,-51.2085628509521
-30.0267354,-51.2092137
-30.025964,-51.20967
-30.0262617,-51.2094175
-30.026783,-51.209288
-30.027108,-51.2109944
-30.026604,-51.209295
-30.025922,-51.210835
-30.026564,-51.209243
-30.026556,-51.2093323
-30.026221,-51.2111478
-29.997263413532,-51.209264821002
-29.971751,-51.236088
-29.986542,-51.242587
-29.971751,-51.236088
-29.98685,-51.218154
-29.985247,-51.26788
-29.9969714,-51.2068538
-30.900169,-55.539594
-30.9014974,-55.541178
-30.9000578,-55.5402178
-30.897755,-55.539917
-30.90204,-55.541339
-30.9014974,-55.541178
-30.902148,-55.541183
-30.902426,-55.54177
-30.9070597,-55.5451961
-30.8911126,-55.5526006
-28.9662485,-52.371333
-28.460080004583,-52.200003862381
-28.797337,-52.514743
-28.978446,-52.368175
-28.473118,-52.201442
-28.833568,-52.510026
-28.464868,-52.211778
-28.890031,-52.413552
-28.9784735441208,-52.3681730031967
-28.8214116,-52.5105872
-31.0525769,-52.0383096
-31.016583171229,-52.053645273247
-31,-52
